author,review,rating,vote_count,date,reply
Ricky Cormier,Is there any reason that once youve started to play and sing then then stopped it that you are then unable to quit the app and remove the play button in the notifications?,Rated 3 stars out of five stars,2,3-Apr-20,
,,,,,
Joshua Wachira,"Definitely a lot of things that need to be fixed and improved upon, spotify is still years ahead of yall",Rated 3 stars out of five stars,,4-Apr-20,
,,,,,
kimkartaeshian,"recently, whenever I create a playlist, it suddenly gets duplicated and no matter what I try, it wont go away :( I tried deleting the duplicate, but that only ended in the original playlist getting deleted too. please fix this/tell me what Im doing wrong. Other than that, its an amazing service! ...\nFull Review",Rated 4 stars out of five stars,,15-Feb-20,
,,,,,
\xd0\xa1\xd0\xb5\xd1\x80\xd0\xb3\xd0\xb5\xd0\xb9 \xd0\x90\xd0\xbb\xd0\xb5\xd0\xba\xd1\x81\xd0\xb5\xd0\xb5\xd0\xbd\xd0\xba\xd0\xbe,"A decent app. Its not perfect, a bit chunky and still needs some work. But the sound quality is unparalleled among lossy streaming services thanks to AAC and Apple Digital Masters. It is constantly getting better, faster and more convenient and its low average rating is a mystery to me. Apple Musi...\nFull Review",Rated 5 stars out of five stars,,1-Feb-20,
,,,,,
Shawn Hoult,"It doesnt work. An obvious mess. Im not sure if Apple purposefully makes this awful so you will buy an iPhone or if Android chokes it so you will use their apps, but it is hard to believe that this is not on purpose. Unbelievably slow downloads (like aol dialup speeds), deletes songs at random, se...\nFull Review",Rated 1 stars out of five stars,,1-Feb-20,
,,,,,
ruebyn vanwinkle,"Very good since u started using. But recently I\m not able to play music, when I tap on songs nothing happens. And when I press the play or shuffle buttons on albums or playlists nothing happens. I don\t want to delete the app and all my music to fix the problem. And the now playing bar is no long...\nFull Review",Rated 4 stars out of five stars,,31-Jan-20,
,,,,,
Tony Burns,"This is easily the buggiest major music app on the Play Store, and has been for a long time. Example: if you download a playlist, then look at your downloaded artists, you often wont see the all of the artists featured in the playlist that you have downloaded locally. It also seems to stream music ...\nFull Review",Rated 2 stars out of five stars,,19-Feb-20,
,,,,,
Kelsey Green,"Downloaded this to listen to my itunes library from my phone, but I guess I cant even listen to my own purchased music without a paid subscription! What a joke.",Rated 1 stars out of five stars,,4-Apr-20,
,,,,,
Cam Car,Not working on my Pixel 2 anymore. Doesnt play the songs just skips to the next song and does the same thing.,Rated 1 stars out of five stars,,3-Apr-20,
,,,,,
Rajiv Widyaratne,"Edit: Worked fine after an update. Hi team, Im unable to download offline songs. It used to work fine, but not anymore. Performed all sorts of troubleshooting. Please provide a fix. Thank you.",Rated 5 stars out of five stars,,5-Apr-20,
,,,,,
Sultan Matbouli,"I didnt get high hopes and thought itll be smooth as in the iPhone, but this is horrible. Pictures often disappear, long song titles cant be read, & sometimes it plays the wrong song....... Edit: all these mistakes are gone now. I Love the app right now. Its perfect for me. Thank you apple for m...\nFull Review",Rated 5 stars out of five stars,,14-Feb-20,
,,,,,
Scott Gibson,It uses too much battery when idle. Is it scraping data? Usability isnt up to what Apple used to be. Library page has an edit link. Going there appears to allow what and the order of what gets listed on the library page. At least thats what i suspect its supposed to do. In practice checking/unche...\nFull Review,Rated 2 stars out of five stars,22,16-Feb-20,
,,,,,
Estelle Carelse,App very buggy after the update. When I try to play a song or search for something it just keeps loading. Its really annoying because I havent been able to enjoy the app as of late. I really like Apple music and have been using it for almost 2 years but lately Im just so disappointed in how the a...\nFull Review,Rated 3 stars out of five stars,57,8-Feb-20,
,,,,,
Elisa Husovschi,"Absolutely terrible, the For you section won\t load, and it won\t do so even after reinstalling the app. I\ve had issues with getting the student discount, and after I finally managed to obtain the email confirmation the app froze. Afterwards, while being logged in, the app did not recognise my st...\nFull Review",Rated 1 stars out of five stars,,8-Feb-20,
,,,,,
Fredrick Rai,"The recent update has fixed a lot of bugs. The album art glitch is nowhere to be seen. The app feels real good now. Apple music is now the best music streaming app even on Android. I\d recommend this app over other music apps because of its sound quality, For You playlists, their own playlists (up...\nFull Review",Rated 4 stars out of five stars,,13-Feb-20,
,,,,,
Gophins134,"Please fix the music skipping every few minutes regardless if WIFI or Data. This has been going on for months. Otherwise this could be the best Android music app hands down. Im using a Pixel 3 xl running Android 10 and 02/20 update. Please fix this ongoing issue Apple. FYI, I have emailed Apple sup...\nFull Review",Rated 1 stars out of five stars,,16-Feb-20,
,,,,,
Thomas Hampton,"For every novel feature or song that disappears Im removing a star. Edit: Could not log into my Apple ID account, didnt know how my security questions were spelled exactly, no recourse. Before I get logged out and can never log in again, I canceled my Apple Music subscription. \xf0\x9f\x91\x8",Rated 2 stars out of five stars,,22-Mar-20,
,,,,,
Mike Yu,"Nothing really wrong with this app. Useful if you have lots of iTunes purchases from back in the day, just switched to Android from iPhone with an existing subscription, or want to find music unavailable on other services because Apple Music does have a lot. Great OLED-friendly dark mode (better tha...\nFull Review",Rated 4 stars out of five stars,56,26-Feb-20,
,,,,,
Hannah Shinzo Winstanley,"Ever since the latest update Ive noticed many bugs with the app on my android. Firstly, the time it takes to download is much longer then before, also some songs arent even downloading. One album downloaded as a previously owned album already owned. Another bug are the album cover images changing,...\nFull Review",Rated 2 stars out of five stars,61,2-Mar-20,
,,,,,
Harshit Jain,"It has built over 1 GB of cache though Ive allowed for 500MB only. If I clear it up the app responds very slow which doesnt happen in other music providers like Spotify. Also, it drains my phones battery. I listened four songs and battery is down by 10%.",Rated 3 stars out of five stars,,25-Mar-20,
,,,,,
Paul R. Hanson,"It works well. But the new Come Together Collection doesnt work for me, for some reason. Everytime I click on it, it force closes the app. My phone is up to date, Ive deleted and redownloaded, Ive signed out and back in, and nothing has helped it.",Rated 2 stars out of five stars,,1-Apr-20,
,,,,,
sadashiva reddy,Having trouble downloading songs.. downloads dont show up.. issues with library being updated.. please fix the bugs!,Rated 2 stars out of five stars,,8-Apr-20,
,,,,,
my list,"Loving the fact that you now know if you have duplicated a song in your play list, thats great! Still got a + sign with some songs? Aa many times as they are readded they still sit there with the + sign afterwards... I agree with others that it is a little annoying when clearing the up next list th...\nFull Review",Rated 4 stars out of five stars,,18-Feb-20,
,,,,,
Kevin T,"This app, to me, is by far the worst. Pretty frustrating to use (I use a few music streaming apps) for looking up songs via genre. Would have been good due to music selection but recently other streaming platforms have been getting all the artists. Also pretty sure they try to influence your music s...\nFull Review",Rated 2 stars out of five stars,,11-Feb-20,
,,,,,
Rebecca Foster,"Is there no repeat button on Android? While it plays music well and I like the lyrics feature, it seems that a lot of critical features are missing. Swiping up like they say to do on iOS does nothing. I\m a listens to a single song on repeat for five days straight type of gal so I think I\ll be he...\nFull Review",Rated 3 stars out of five stars,,17-Feb-20,
,,,,,
A Google user,Some album covers are damaged/in low resolution after the song is downloaded; please add option to remove a song from a playlist; working poorly when the network connection is weak (but working fine when theres no connection); album artworks of songs that I uploaded in my iCloud library (downloaded...\nFull Review,Rated 1 stars out of five stars,,5-Mar-20,
,,,,,
Miguel Guthridge,"This app, although functional, is flooded with bugs. Editing the up-next is janky and the scroll bar frequently breaks when scrolling through downloaded songs. Dont even get me started about the mess that is using Chromecast with Apple Music. These sorts of bugs should be fixed within days of major...\nFull Review",Rated 3 stars out of five stars,,2-Feb-20,
,,,,,
ITpro Brian,"Please bring back continuous playback to Android OS. iOS, iPad OS, and macOS all have continuous playback for Apple Music App. Android OS did have this feature in previous builds but for some reason it was removed. Im an IT professional that mainly uses the Apple ecosystem however it would be very ...\nFull Review",Rated 4 stars out of five stars,,29-Mar-20,
,,,,,
Phil Mann,With GPMs lack of support and Spotifys mountain of bugs I was in need of a new app. I wasnt sold on this service when I last used it 2 years ago. Now I see it has many features I get with Google Play Music like the ability to edit songs details like genre and album art through itunes and the abi...\nFull Review,Rated 5 stars out of five stars,,2-Feb-20,
,,,,,
funnychimpDOTcom,The UI is awful and the audio quality is even worse than Spotifys. I love the ability to easily transfer music and the artist pages are much better than the competitions at the very least. If there was a dark mode and higher quality I might even prefer it over Spotify but it seems like Apple is det...\nFull Review,Rated 1 stars out of five stars,,13-Feb-20,
,,,,,
Michan 123,"I do love this music apps. But recently I can not play songs continously from the same artist when coming to browse them on the top songs list. Other artists top songs list can be played continuously to the next track, but other artist can not. It worked just fine in the past, but now it is not. So...\nFull Review",Rated 3 stars out of five stars,31,21-Feb-20,
,,,,,
Marcel _4321,Doesnt wanna let me log in. I had this on the OnePlus 6 and it had trouble to log in but it worked after. Now I go on the one Plus 7 and I try adding a song and I click on already a subscriber and nothing happens. If I click on start 3month free trial then it works. Its BS. They are making it so d...\nFull Review,Rated 1 stars out of five stars,,9-Mar-20,
,,,,,
James Patlyek,Terrible customer service. Been having an issue since the last update where I only get track 1 of 101 or 2 of 101 it does not move on past 2. I have over 500 songs in the playlist. Contacted Apple support since its their app and was told that since I dont own an apple phone its not their problem.,Rated 1 stars out of five stars,,19-Mar-20,
,,,,,
patrick okooboh,"Terrible!!! Whenever I click on a song, it plays another song entirely different from the one I clicked. Its crazy. This should be fixed in the next update. I cant continue to live like this. Id rather use other music player",Rated 1 stars out of five stars,,30-Mar-20,
,,,,,
J ames,"Apple Music isnt iTunes but its still the best music app available for our non iOS device. The reasons for this are plenty but for the moment lets just highlight the massive catalog of material that is available to subscribers. Everything ever released by almost every musician, performer, band, g...\nFull Review",Rated 5 stars out of five stars,110,4-Feb-20,
,,,,,
Courtney Briggs,I like the app but after its update lately its been acting weird. If you remove a song then it brings you all the way to the top. Also it started shutting down and opening back up or not wanting to let me use other apps like Facebook while its active. If these could be fixed that would be greatly...\nFull Review,Rated 3 stars out of five stars,,5-Feb-20,
,,,,,
Colin Horton,"Having used all the other music apps without naming them ...Apple music app is far from the rest . A really good music app best i have used . Adds to your library instant songs , Even lets you see the lyrics of the songs . Very well thought out and runs 100 per cent nice on my samsung . Well done ap...\nFull Review",Rated 5 stars out of five stars,,6-Feb-20,
,,,,,
Nikita Popov,"It\s getting worse with each update. UI becomes better, but UX goes to hell. Have you ever tried to use your widget? Why song starts again each time I pause it and then press play again? Why I can\t open downloaded album when internet is turned off (I know I can longpress its cover and then press ...\nFull Review",Rated 2 stars out of five stars,,9-Feb-20,
,,,,,
Andrey Lezov,"IMO, just a big music library (its great) with music player. But not a modern, music recommendation service. 3 type of mix: New, Favourite, Chill, that updated ONCE a week. And pure recommendation based on genre, artist, songs, albums. Really, it sucks. In 90% situations I used it only for artist /...\nFull Review",Rated 1 stars out of five stars,,12-Feb-20,
,,,,,
Cody Guevara,"After update: When searching a band (to stream) it shows the top songs, when I select See All to play all of their music....it only plays the song I selected, no option to skip track, shuffle, or anything. And when the song is done it just replays it without resetting the timer. Was on the phone wit...\nFull Review",Rated 2 stars out of five stars,,11-Feb-20,
,,,,,
mustang19898,"Questionable subscription plan. I mainly got this so I could listen to my songs, that Ive ALREADY BOUGHT on iTunes, on my phone. But I have to pay monthly to listen to songs I already bought? I dont like it. I understand the subscription for streaming music or downloading or something. But I just ...\nFull Review",Rated 2 stars out of five stars,,14-Feb-20,
,,,,,
Eric Stewart,This app has come a long way from its humble beginnings. The addition of dark mode has been a godsend. The main feature missing keeping Apple Music from completely overtaking Spotify (imo) is gapless playback. Its pretty ridiculous to not have this in 2020. Please add this to Android and you will h...\nFull Review,Rated 3 stars out of five stars,,29-Feb-20,
,,,,,
Gaurav Dhiwar,App is good but somemetimes songs get skipped automatically even though they are downloaded. Please fix this! Please make Shuffle and Repeat buttons more prominent. It will be great if they are appearing on the front of the player. Otherwise app is working good. Thank you.,Rated 4 stars out of five stars,,16-Mar-20,
,,,,,
Terence Scarborough,Very pleased with paying one low set amount for unlimited song downloads in stead of outrageous prices per each song. It really has saved me thousands of dollars per month. No issues at all with any part of the app. Definitely pleased with the changes made by apple/iTunes.,Rated 4 stars out of five stars,,19-Mar-20,
,,,,,
Siddhant Tiwari,"Has Everthing you can ask a music app to do. With the Apple Music subscription, its one of the best music player. It syncs effortlessly with my Macbook, and other Apple devices. In short I Love it!! Thank You Apple for launching Apple Services like Music to Android. Looking forward for TV and others...\nFull Review",Rated 5 stars out of five stars,,31-Mar-20,
,,,,,
Avi,Actually Apple music freezes in between all the time. Please it needs some UI optimization.,Rated 4 stars out of five stars,,6-Apr-20,
,,,,,
Ian Dawson,When is gapless playback finally going to be introduced? This app is seriously lagging behind its iOS counterpart & most other streaming platforms in this respect.,Rated 1 stars out of five stars,2,4-Apr-20,
,,,,,
J Du,Home computer tries to make me upgrade saying another device is playing when all my other devices are off. There is also no way to edit a playlist/remove songs from a playlist in the mobile app. Removing a song from your library does not change the playlist. Please consider those who use a playlis...\nFull Review,Rated 2 stars out of five stars,,27-Feb-20,
,,,,,
killerjhul,Id give this app a 5 stars but I cant. There are so many regional restrictions with music purchases/streaming that other service do not adhere to or have simply acquired the licenses required to share/stream/broadcast music. Thats beef #1. Beef #2 is that the lyrics to songs are often wrong by a ...\nFull Review,Rated 3 stars out of five stars,,9-Mar-20,
,,,,,
Collin Rushing,"I have a Google Pixel 3a XL, and this app worked fine just a few days ago, now everytime I open the app it closes after about 5 to 10 seconds, it wont let me listen to music or do anything anymore.",Rated 1 stars out of five stars,1,18-Mar-20,
,,,,,
Victor Popa,"By far the best music app, easy to use and... THE ONLY ONE that allows you to delete a song from the entire library instead of going into each playlist (in case you have added a song to a few) which saves me from having doubles of same songs (from Ep, and different versions of an album).",Rated 5 stars out of five stars,8,30-Mar-20,
,,,,,
Cindy Lui,"I switched my phone from iPhone to Samsung so I downloaded this app on Android, but the layout is not as neat as the ios one. And when I tryna browse the songs from the list, it is arranged in alphabetical order, but for the Chinese words it just sucks and the app is not able to change the language.",Rated 3 stars out of five stars,,31-Mar-20,
,,,,,
jalex bakarth,App crashes every time I try to edit a playlist. Cant get music from iTunes onto Apple Music and a lot of it is not available in your province or country even though I own it on CD and have it in my library. Almost worth switching to Spotify if I didnt have such an expansive iTunes list and no a...\nFull Review,Rated 1 stars out of five stars,,13-Feb-20,
