,Unnamed: 0.1.1,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
73,147,Maurice Easter,"I love apple music but not on android. Currently using on the galaxy s9+ and I swear I have to uninstall and reinstall this app every few days. Music just stops streaming sound out of nowhere, sometimes when trying to play music it just keeps pausing and pausing in a continuous loop. Definitely wish...\nFull Review",Rated 2 stars out of five stars,01-Apr-20,"{'neg': 0.055, 'neu': 0.787, 'pos': 0.158, 'compound': 0.7935}",0.7935,Positive,0.14,0.4,Positive
74,149,Duncan Goetze,"Recent update strange: I can no longer seek within the audio file, ie. I cant choose where to start playing from. I usually want to hear the whole song, but sometimes I want to seek within it. Otherwise the app is fine. Its recommendations are generally more accurate than other software, it has a c...\nFull Review",Rated 2 stars out of five stars,14-Feb-20,"{'neg': 0.055, 'neu': 0.83, 'pos': 0.114, 'compound': 0.296}",0.296,Positive,0.136458333,0.382291667,Positive
75,151,Elizabeth Ojewunmi,"Exceptional music app!!! The ease at which I can find any song, access new and constantly updated playlists, and being able to sing along with the artist through the lyrics feature, are truly amazing. The monthly subscription fee is quite moderate considering the volume and array of songs I have acc...\nFull Review",Rated 5 stars out of five stars,20-Feb-20,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.8772}",0.8772,Positive,0.372727273,0.668813131,Positive
76,153,Kamran Pirzada,"Its good, The all over experience is great, wide music range, awesome UI, great music quality. Ive been in love with this App.! Only thing i want in this is the Volume Button, like in the iOS music App.! That volume Button on the bottom gives chills, thats all i want in this Android Apple Music A...\nFull Review",Rated 5 stars out of five stars,13-Mar-20,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.9753}",0.9753,Positive,0.546428571,0.728571429,Positive
77,155,Victor Br\xc3\xa6nd,"There has been some problems making this app barely usable but these have been fixed. Thouhg there is still some problems which are not bugs. Quite often, albums genre is categorised wrong. There is also apparently no way to unlike or undislike everything which makes the recommendations quite bad d...\nFull Review",Rated 3 stars out of five stars,22-Mar-20,"{'neg': 0.276, 'neu': 0.724, 'pos': 0.0, 'compound': -0.9555}",-0.9555,Negative,-0.215,0.443333333,Negative
78,157,Aaron Farn,"My gf was trying to use my apple music & it asked for a 6 digit code sent to a cell # that I didnt recognize, it wasnt the # attached to my account. They wouldnt remove the #. I spoke with 2 support techs who were incredibly lazy and all they would do is send me articles to read on my own. Long sto...\nFull Review",Rated 1 stars out of five stars,22-Mar-20,"{'neg': 0.046, 'neu': 0.909, 'pos': 0.045, 'compound': -0.024}",-0.024,Negative,0.1,0.8,Positive
79,159,Chrissy Biebel,"This app sucks with Google. Constantly getting billing errors, but its billed through my cell phone. Usually I can just log into my apple account to get around the error message, but apparently not any more. I do not recommend any Android users pay for this. When it actually works though, its grea...\nFull Review",Rated 1 stars out of five stars,27-Mar-20,"{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.8645}",-0.8645,Negative,-0.0125,0.305555556,Negative
80,161,Diamond Imperium,"So many bugs. Keeps saying I have no music downloades but the downloads are taking my storage, app glitches a lot worh downloads. Tempted to switch to Spotify",Rated 3 stars out of five stars,05-Apr-20,"{'neg': 0.06, 'neu': 0.94, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negative,0.5,0.5,Positive
81,163,\xd7\x90\xd7\x9c\xd7\x99\xd7\x90\xd7\x91 \xd7\x9e\xd7\xa8\xd7\x9c\xd7\xa0\xd7\x93,"Strange how apple made this app so badly. Especially since the last update. Playlists dont work anymore, songs just play on repeat. The shuffle and repeat options are sometimes impossible to reach. Any time you minimise the app and go back to it goes back to the main page, so navigating the app is ...\nFull Review",Rated 1 stars out of five stars,15-Feb-20,"{'neg': 0.094, 'neu': 0.848, 'pos': 0.057, 'compound': -0.5092}",-0.5092,Negative,-0.078571429,0.364285714,Negative
82,165,Heather Kaye,Good...have had trouble with some songs and some glitching but mostly good and I get a free subscription because I have Verizon contract phones,Rated 4 stars out of five stars,10-Apr-20,"{'neg': 0.066, 'neu': 0.639, 'pos': 0.295, 'compound': 0.8151}",0.8151,Positive,0.3,0.533333333,Positive
83,167,Nahal Gomel,"I really like the app in comparisons to other music streamers, but recently it crashes and dont load quit often.",Rated 3 stars out of five stars,09-Apr-20,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2255}",0.2255,Positive,0.025,0.275,Positive
84,169,Kaylyn Daniels,"The new queue update is so annoying. Especially when Im removing songs from up next and after each song I remove it shoots back to the top of the list. Not to mention that the control buttons cover up like a third of the songs in the queue, feels a bit claustrophobic. They disappear when you scro...\nFull Review",Rated 3 stars out of five stars,15-Feb-20,"{'neg': 0.089, 'neu': 0.84, 'pos': 0.071, 'compound': -0.2712}",-0.2712,Negative,-0.114204545,0.450568182,Negative
85,171,Lu\xc3\xads Costa,"This app has nothing on Spotify. Ever since it was released it is glitchy, slow and the menus are not intuitive. A few years have passed and nothing changed - even the interface is bland and outdated. I am getting this for free from my service provider and still I subscribe to Spotify from time to t...\nFull Review",Rated 1 stars out of five stars,07-Mar-20,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.5106}",0.5106,Positive,-0.133333333,0.553333333,Negative
86,173,Aniruddh Joshi,Apple music is amazing when used in iPhone but it lags a lot in android. They can have the volume slider just like it is in iPhone and more options in how to arrange the songs in playlists. Ive been using apple music for like 2 years in iPhone and I seriously think since the time Ive started using...\nFull Review,Rated 2 stars out of five stars,24-Mar-20,"{'neg': 0.08, 'neu': 0.785, 'pos': 0.134, 'compound': 0.5574}",0.5574,Positive,0.255555556,0.688888889,Positive
87,175,ahmad agbaje,"It just suddenly glitches and I cant play any of my downloaded music, add to my library or edit/create playlists. I dont understand it but Im really disappointed in apple. Why release the app if theres still a thousand bugs? And they do t even reply to these reviews because they dont care about...\nFull Review",Rated 2 stars out of five stars,04-Apr-20,"{'neg': 0.166, 'neu': 0.834, 'pos': 0.0, 'compound': -0.8608}",-0.8608,Negative,-0.375,0.625,Negative
88,177,Jan Rymarz,"I expected more. The Android version is less polished than the iOS version. Eg there is no volume bar so you need to use the phones physical volume rocker to adjust volume. Also, you cannot change the music genres entered when first installing the app so if youre not careful, tough luck (thats no...\nFull Review",Rated 3 stars out of five stars,22-Feb-20,"{'neg': 0.107, 'neu': 0.87, 'pos': 0.024, 'compound': -0.5795}",-0.5795,Negative,0.020634921,0.468027211,Positive
89,179,Joseph McKenzie,"Pros: Good sound quality Cons: Unintuitive UI. When adding multiple songs to a playlist, you have to check the song, click the check in the corner, and then click the check on the playlist itself to say youre done editing. Thats far too many checks to be intuitive or user friendly. I am also unabl...\nFull Review",Rated 2 stars out of five stars,07-Mar-20,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.7269}",0.7269,Positive,0.345833333,0.5,Positive
90,181,Dawn Barclay,"This is supposed to come free with my phone subscription, I was able to use it once. The next time I went on i had trouble with it and any history of me being on the app was gone along with my libray. When I tried to get on it said it didnt recognize my id, but when i tried to make a new account it...\nFull Review",Rated 1 stars out of five stars,11-Mar-20,"{'neg': 0.029, 'neu': 0.937, 'pos': 0.034, 'compound': 0.0772}",0.0772,Positive,0.167272727,0.415909091,Positive
91,183,TheAtom,COMPLETLY USELESS! Cant get all the songs I BOUGHT WITH MY OWN MONEY! Its just another protal that allows the new greedy overly corprate apple to force Apple Music on us. All it does is pester you to subscribe to Apple Music & it has no way to acces our personal iTunes library so all that money we s...\nFull Review,Rated 1 stars out of five stars,18-Mar-20,"{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.8233}",-0.8233,Negative,0.065340909,0.488636364,Positive
92,185,Chris Kelley,I just went through a 1 and 1/2 hour ordeal just to be able to get access to this app. No wonder I didnt keep it in the past. Now I remember that I had trouble 2 times in the past with this app over the years. I finally decided to download it because I want to try to get all my music in one place. ...\nFull Review,Rated 2 stars out of five stars,25-Mar-20,"{'neg': 0.079, 'neu': 0.9, 'pos': 0.021, 'compound': -0.5574}",-0.5574,Negative,-0.04,0.465,Negative
93,187,Alberto sanchez,"It works as intended its just that it does stuff that can drive you batty. Some new downloads never ever show up in the recently downloaded section. If you download more than 2 albums simultaniously, there is a good chance some songs will get stuck in a downloading loop. Oh! And if you dont turn off...\nFull Review",Rated 3 stars out of five stars,29-Mar-20,"{'neg': 0.034, 'neu': 0.876, 'pos': 0.089, 'compound': 0.4926}",0.4926,Positive,0.377840909,0.451136364,Positive
94,189,FaZe frisen,I have used apple music for years and love it . The only thing they should change is the songs they delete I have had a bunch of my music deleted,Rated 5 stars out of five stars,10-Apr-20,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.6369}",0.6369,Positive,0.25,0.8,Positive
95,191,Tamesha McFarland,"3/7/20 ETA: App doesnt work on the Galaxy S20+. Will not allow you to sign in.: Im not sure why this app is so horrible, but it is. And every update seems to make it worse. i switched to Apple Music from Spotify because i like how you can make smart playlists to listen to songs you havent listene...\nFull Review",Rated 1 stars out of five stars,08-Mar-20,"{'neg': 0.142, 'neu': 0.759, 'pos': 0.099, 'compound': -0.2286}",-0.2286,Negative,-0.358928571,0.782936508,Negative
96,193,Andrew Lockhart,"Love the new personalised radio station. Saves me switching between the different genres. *Edit: Has been very buggy of late on pixel 2xl running Android 10. Sometimes when opening get a bare screen. Only the play button and playlist menus show up (both unresponsive), need to close and reset a few t...\nFull Review",Rated 2 stars out of five stars,13-Mar-20,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.765}",0.765,Positive,0.048295455,0.469318182,Positive
97,195,Creepy RadioPasta,"Pretty good, save for the many and numerous bugs. On this version (the android version) its somehow less buggy than the iOS version, but the bug that both share is that when moving songs in the queue they get shifted in a very haphazard way: being flung upwards and downwards at seemingly light spee...\nFull Review",Rated 4 stars out of five stars,07-Feb-20,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.7876}",0.7876,Positive,0.129047619,0.623809524,Positive
98,197,Jonathan Newsham,"Much improved from when I last used this app but it still doesnt mean its at all close to Spotify. Recommendations are very poor and slow to update, which is the main reason I use streaming apps. And for some reason the Android version of this app has a glitch that when scrolling for a letter does...\nFull Review",Rated 3 stars out of five stars,12-Feb-20,"{'neg': 0.078, 'neu': 0.887, 'pos': 0.035, 'compound': -0.5483}",-0.5483,Negative,-0.127638889,0.41125,Negative
99,199,Evan Rothenbacher,"Great app missing some features though. Id like to be able to control what Im listening to using my phone if Im on my computer. Next is the skip option, basically when you skip it will stop what you are listening to and switch song without unpausing. Lastly Ive heard about how people were compla...\nFull Review",Rated 4 stars out of five stars,03-Mar-20,"{'neg': 0.07, 'neu': 0.825, 'pos': 0.105, 'compound': 0.4939}",0.4939,Positive,0.22,0.298333333,Positive
100,201,Ken Mai,"Worst UX ever. Why is the shuffle and repeat hidden? Even after pressing the button to reveal the shuffle and repeat, its still hidden! You have to do some other action to reveal the repeat and shuffle. Its completely unintuitive. Oh yeah you also cant shuffle all of an artists top tracks? You ca...\nFull Review",Rated 1 stars out of five stars,06-Mar-20,"{'neg': 0.067, 'neu': 0.852, 'pos': 0.081, 'compound': -0.3587}",-0.3587,Negative,-0.114285714,0.43452381,Negative
101,203,Thomas Martin,"I like the music selection, but the functionality seems to be getting worse. I used to be able to play top songs from an artist in my car, but theyve changed it so you can only listen to one song at a time. It will not advance automatically to the next song and you cannot skip forwards or backwards...\nFull Review",Rated 2 stars out of five stars,06-Mar-20,"{'neg': 0.065, 'neu': 0.826, 'pos': 0.11, 'compound': 0.2263}",0.2263,Positive,0.12,0.545,Positive
102,205,Yanni Kien,"awful since the update, ever since the update my app has been acting funny skipping through several different songs not playing at had to force close the app I had to clear my cache and cookies Ive had to uninstall the app and I still cant play music cuz its keeps skipping eats and every song but...\nFull Review",Rated 1 stars out of five stars,27-Mar-20,"{'neg': 0.105, 'neu': 0.808, 'pos': 0.087, 'compound': -0.033}",-0.033,Negative,-0.108333333,0.497222222,Negative
103,207,Shareen Thornton,"A wide variety of music and podcasts. Works excellent with Apple products, however it runs very slow on Android. If Apple wishes to include their apps to work with Android based products then it should be made to work just as well as it does with iPhones, iPads, ECT.",Rated 3 stars out of five stars,01-Apr-20,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.7506}",0.7506,Positive,0.17,0.64,Positive
104,209,Mallary Frassinelli,i dig this app. i almost never have issues with it except some cover art glitches. the sound quality is fantastic. ill add two stars to my review for the ability to sort by BPM in the app. id also like to see number of songs listed in playlists and genres. i miss knowing how many songs are in a pl...\nFull Review,Rated 3 stars out of five stars,02-Feb-20,"{'neg': 0.067, 'neu': 0.787, 'pos': 0.147, 'compound': 0.6486}",0.6486,Positive,0.2,0.7,Positive
105,211,Efrain Navarreterios,Note 10 plus user. I could have the fastest wifi connection and it still takes so long to buffer music. It doesnt take as long on my mobile data which is weird because I dont have the best connection where I live. It wasnt always like this but with recent updates it acts glitchy. When I am on my ...\nFull Review,Rated 1 stars out of five stars,24-Feb-20,"{'neg': 0.086, 'neu': 0.914, 'pos': 0.0, 'compound': -0.4747}",-0.4747,Negative,0.089393939,0.475,Positive
106,213,Paul Gwajime,"This app constantly give issues. Even after downloading songs for offline play, it most times require me to use my WiFi to play the songs......its annoying bcuz the aim of playing songs offline is killed. The app also use to crash every week but it has now reduce very much.",Rated 2 stars out of five stars,19-Mar-20,"{'neg': 0.161, 'neu': 0.753, 'pos': 0.086, 'compound': -0.4854}",-0.4854,Negative,-0.048,0.398666667,Negative
107,215,Ricky Cormier,Is there any reason that once youve started to play and sing then then stopped it that you are then unable to quit the app and remove the play button in the notifications?,Rated 3 stars out of five stars,03-Apr-20,"{'neg': 0.052, 'neu': 0.817, 'pos': 0.131, 'compound': 0.4404}",0.4404,Positive,-0.5,0.5,Negative
108,217,Joshua Wachira,"Definitely a lot of things that need to be fixed and improved upon, spotify is still years ahead of yall",Rated 3 stars out of five stars,04-Apr-20,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.7003}",0.7003,Positive,0.05,0.35,Positive
109,219,kimkartaeshian,"recently, whenever I create a playlist, it suddenly gets duplicated and no matter what I try, it wont go away :( I tried deleting the duplicate, but that only ended in the original playlist getting deleted too. please fix this/tell me what Im doing wrong. Other than that, its an amazing service! ...\nFull Review",Rated 4 stars out of five stars,15-Feb-20,"{'neg': 0.091, 'neu': 0.662, 'pos': 0.247, 'compound': 0.8379}",0.8379,Positive,-0.03125,0.709375,Negative
110,221,\xd0\xa1\xd0\xb5\xd1\x80\xd0\xb3\xd0\xb5\xd0\xb9 \xd0\x90\xd0\xbb\xd0\xb5\xd0\xba\xd1\x81\xd0\xb5\xd0\xb5\xd0\xbd\xd0\xba\xd0\xbe,"A decent app. Its not perfect, a bit chunky and still needs some work. But the sound quality is unparalleled among lossy streaming services thanks to AAC and Apple Digital Masters. It is constantly getting better, faster and more convenient and its low average rating is a mystery to me. Apple Musi...\nFull Review",Rated 5 stars out of five stars,01-Feb-20,"{'neg': 0.126, 'neu': 0.775, 'pos': 0.1, 'compound': -0.1275}",-0.1275,Negative,0.111666667,0.43,Positive
111,223,Shawn Hoult,"It doesnt work. An obvious mess. Im not sure if Apple purposefully makes this awful so you will buy an iPhone or if Android chokes it so you will use their apps, but it is hard to believe that this is not on purpose. Unbelievably slow downloads (like aol dialup speeds), deletes songs at random, se...\nFull Review",Rated 1 stars out of five stars,01-Feb-20,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.7254}",-0.7254,Negative,-0.35952381,0.572222222,Negative
112,225,ruebyn vanwinkle,"Very good since u started using. But recently I\m not able to play music, when I tap on songs nothing happens. And when I press the play or shuffle buttons on albums or playlists nothing happens. I don\t want to delete the app and all my music to fix the problem. And the now playing bar is no long...\nFull Review",Rated 4 stars out of five stars,31-Jan-20,"{'neg': 0.159, 'neu': 0.763, 'pos': 0.078, 'compound': -0.4941}",-0.4941,Negative,0.22,0.551666667,Positive
113,227,Tony Burns,"This is easily the buggiest major music app on the Play Store, and has been for a long time. Example: if you download a playlist, then look at your downloaded artists, you often wont see the all of the artists featured in the playlist that you have downloaded locally. It also seems to stream music ...\nFull Review",Rated 2 stars out of five stars,19-Feb-20,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.5859}",0.5859,Positive,0.111458333,0.433333333,Positive
114,229,Kelsey Green,"Downloaded this to listen to my itunes library from my phone, but I guess I cant even listen to my own purchased music without a paid subscription! What a joke.",Rated 1 stars out of five stars,04-Apr-20,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.4753}",0.4753,Positive,0.75,1,Positive
115,231,Cam Car,Not working on my Pixel 2 anymore. Doesnt play the songs just skips to the next song and does the same thing.,Rated 1 stars out of five stars,03-Apr-20,"{'neg': 0.092, 'neu': 0.908, 'pos': 0.0, 'compound': -0.2584}",-0.2584,Negative,0,0.0625,Negative
116,233,Rajiv Widyaratne,"Edit: Worked fine after an update. Hi team, Im unable to download offline songs. It used to work fine, but not anymore. Performed all sorts of troubleshooting. Please provide a fix. Thank you.",Rated 5 stars out of five stars,05-Apr-20,"{'neg': 0.033, 'neu': 0.679, 'pos': 0.289, 'compound': 0.8316}",0.8316,Positive,0.111111111,0.5,Positive
117,235,Sultan Matbouli,"I didnt get high hopes and thought itll be smooth as in the iPhone, but this is horrible. Pictures often disappear, long song titles cant be read, & sometimes it plays the wrong song....... Edit: all these mistakes are gone now. I Love the app right now. Its perfect for me. Thank you apple for m...\nFull Review",Rated 5 stars out of five stars,14-Feb-20,"{'neg': 0.208, 'neu': 0.579, 'pos': 0.213, 'compound': 0.3472}",0.3472,Positive,0.099464286,0.684464286,Positive
118,237,Scott Gibson,It uses too much battery when idle. Is it scraping data? Usability isnt up to what Apple used to be. Library page has an edit link. Going there appears to allow what and the order of what gets listed on the library page. At least thats what i suspect its supposed to do. In practice checking/unche...\nFull Review,Rated 2 stars out of five stars,16-Feb-20,"{'neg': 0.038, 'neu': 0.929, 'pos': 0.033, 'compound': -0.0772}",-0.0772,Negative,-0.05,0.3,Negative
119,239,Estelle Carelse,App very buggy after the update. When I try to play a song or search for something it just keeps loading. Its really annoying because I havent been able to enjoy the app as of late. I really like Apple music and have been using it for almost 2 years but lately Im just so disappointed in how the a...\nFull Review,Rated 3 stars out of five stars,08-Feb-20,"{'neg': 0.117, 'neu': 0.795, 'pos': 0.089, 'compound': -0.5841}",-0.5841,Negative,-0.10625,0.559375,Negative
120,241,Elisa Husovschi,"Absolutely terrible, the For you section won\t load, and it won\t do so even after reinstalling the app. I\ve had issues with getting the student discount, and after I finally managed to obtain the email confirmation the app froze. Afterwards, while being logged in, the app did not recognise my st...\nFull Review",Rated 1 stars out of five stars,08-Feb-20,"{'neg': 0.064, 'neu': 0.936, 'pos': 0.0, 'compound': -0.5256}",-0.5256,Negative,-0.5,1,Negative
121,243,Fredrick Rai,"The recent update has fixed a lot of bugs. The album art glitch is nowhere to be seen. The app feels real good now. Apple music is now the best music streaming app even on Android. I\d recommend this app over other music apps because of its sound quality, For You playlists, their own playlists (up...\nFull Review",Rated 4 stars out of five stars,13-Feb-20,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.8625}",0.8625,Positive,0.425,0.489285714,Positive
122,245,Gophins134,"Please fix the music skipping every few minutes regardless if WIFI or Data. This has been going on for months. Otherwise this could be the best Android music app hands down. Im using a Pixel 3 xl running Android 10 and 02/20 update. Please fix this ongoing issue Apple. FYI, I have emailed Apple sup...\nFull Review",Rated 1 stars out of five stars,16-Feb-20,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.8842}",0.8842,Positive,0.214814815,0.22962963,Positive
123,247,Thomas Hampton,"For every novel feature or song that disappears Im removing a star. Edit: Could not log into my Apple ID account, didnt know how my security questions were spelled exactly, no recourse. Before I get logged out and can never log in again, I canceled my Apple Music subscription. \xf0\x9f\x91\x8",Rated 2 stars out of five stars,22-Mar-20,"{'neg': 0.088, 'neu': 0.822, 'pos': 0.09, 'compound': 0.0258}",0.0258,Positive,-0.125,0.25,Negative
124,249,Mike Yu,"Nothing really wrong with this app. Useful if you have lots of iTunes purchases from back in the day, just switched to Android from iPhone with an existing subscription, or want to find music unavailable on other services because Apple Music does have a lot. Great OLED-friendly dark mode (better tha...\nFull Review",Rated 4 stars out of five stars,26-Feb-20,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.8771}",0.8771,Positive,0.117857143,0.417857143,Positive
125,251,Hannah Shinzo Winstanley,"Ever since the latest update Ive noticed many bugs with the app on my android. Firstly, the time it takes to download is much longer then before, also some songs arent even downloading. One album downloaded as a previously owned album already owned. Another bug are the album cover images changing,...\nFull Review",Rated 2 stars out of five stars,02-Mar-20,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Negative,0.256666667,0.42,Positive
126,253,Harshit Jain,"It has built over 1 GB of cache though Ive allowed for 500MB only. If I clear it up the app responds very slow which doesnt happen in other music providers like Spotify. Also, it drains my phones battery. I listened four songs and battery is down by 10%.",Rated 3 stars out of five stars,25-Mar-20,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.6249}",0.6249,Positive,-0.114111111,0.513444444,Negative
127,255,Paul R. Hanson,"It works well. But the new Come Together Collection doesnt work for me, for some reason. Everytime I click on it, it force closes the app. My phone is up to date, Ive deleted and redownloaded, Ive signed out and back in, and nothing has helped it.",Rated 2 stars out of five stars,01-Apr-20,"{'neg': 0.0, 'neu': 0.955, 'pos': 0.045, 'compound': 0.2732}",0.2732,Positive,0.068181818,0.227272727,Positive
128,257,sadashiva reddy,Having trouble downloading songs.. downloads dont show up.. issues with library being updated.. please fix the bugs!,Rated 2 stars out of five stars,08-Apr-20,"{'neg': 0.147, 'neu': 0.739, 'pos': 0.113, 'compound': -0.1759}",-0.1759,Negative,-0.25,0.2,Negative
129,259,my list,"Loving the fact that you now know if you have duplicated a song in your play list, thats great! Still got a + sign with some songs? Aa many times as they are readded they still sit there with the + sign afterwards... I agree with others that it is a little annoying when clearing the up next list th...\nFull Review",Rated 4 stars out of five stars,18-Feb-20,"{'neg': 0.037, 'neu': 0.762, 'pos': 0.201, 'compound': 0.8953}",0.8953,Positive,0.185416667,0.6,Positive
130,261,Kevin T,"This app, to me, is by far the worst. Pretty frustrating to use (I use a few music streaming apps) for looking up songs via genre. Would have been good due to music selection but recently other streaming platforms have been getting all the artists. Also pretty sure they try to influence your music s...\nFull Review",Rated 2 stars out of five stars,11-Feb-20,"{'neg': 0.069, 'neu': 0.756, 'pos': 0.174, 'compound': 0.7783}",0.7783,Positive,-0.005,0.723888889,Negative
131,263,Rebecca Foster,"Is there no repeat button on Android? While it plays music well and I like the lyrics feature, it seems that a lot of critical features are missing. Swiping up like they say to do on iOS does nothing. I\m a listens to a single song on repeat for five days straight type of gal so I think I\ll be he...\nFull Review",Rated 3 stars out of five stars,17-Feb-20,"{'neg': 0.1, 'neu': 0.735, 'pos': 0.165, 'compound': 0.5106}",0.5106,Positive,-0.017857143,0.366071429,Negative
132,265,A Google user,Some album covers are damaged/in low resolution after the song is downloaded; please add option to remove a song from a playlist; working poorly when the network connection is weak (but working fine when theres no connection); album artworks of songs that I uploaded in my iCloud library (downloaded...\nFull Review,Rated 1 stars out of five stars,05-Mar-20,"{'neg': 0.135, 'neu': 0.788, 'pos': 0.077, 'compound': -0.4767}",-0.4767,Negative,-0.089583333,0.50625,Negative
133,267,Miguel Guthridge,"This app, although functional, is flooded with bugs. Editing the up-next is janky and the scroll bar frequently breaks when scrolling through downloaded songs. Dont even get me started about the mess that is using Chromecast with Apple Music. These sorts of bugs should be fixed within days of major...\nFull Review",Rated 3 stars out of five stars,02-Feb-20,"{'neg': 0.048, 'neu': 0.952, 'pos': 0.0, 'compound': -0.3612}",-0.3612,Negative,0.008333333,0.225,Positive
134,269,ITpro Brian,"Please bring back continuous playback to Android OS. iOS, iPad OS, and macOS all have continuous playback for Apple Music App. Android OS did have this feature in previous builds but for some reason it was removed. Im an IT professional that mainly uses the Apple ecosystem however it would be very ...\nFull Review",Rated 4 stars out of five stars,29-Mar-20,"{'neg': 0.0, 'neu': 0.97, 'pos': 0.03, 'compound': 0.1655}",0.1655,Positive,0.06,0.18,Positive
135,271,Phil Mann,With GPMs lack of support and Spotifys mountain of bugs I was in need of a new app. I wasnt sold on this service when I last used it 2 years ago. Now I see it has many features I get with Google Play Music like the ability to edit songs details like genre and album art through itunes and the abi...\nFull Review,Rated 5 stars out of five stars,02-Feb-20,"{'neg': 0.036, 'neu': 0.773, 'pos': 0.192, 'compound': 0.8442}",0.8442,Positive,0.212121212,0.34040404,Positive
136,273,funnychimpDOTcom,The UI is awful and the audio quality is even worse than Spotifys. I love the ability to easily transfer music and the artist pages are much better than the competitions at the very least. If there was a dark mode and higher quality I might even prefer it over Spotify but it seems like Apple is det...\nFull Review,Rated 1 stars out of five stars,13-Feb-20,"{'neg': 0.063, 'neu': 0.763, 'pos': 0.174, 'compound': 0.7269}",0.7269,Positive,-0.032083333,0.619166667,Negative
137,275,Michan 123,"I do love this music apps. But recently I can not play songs continously from the same artist when coming to browse them on the top songs list. Other artists top songs list can be played continuously to the next track, but other artist can not. It worked just fine in the past, but now it is not. So...\nFull Review",Rated 3 stars out of five stars,21-Feb-20,"{'neg': 0.024, 'neu': 0.828, 'pos': 0.148, 'compound': 0.6987}",0.6987,Positive,0.141666667,0.3475,Positive
138,277,Marcel _4321,Doesnt wanna let me log in. I had this on the OnePlus 6 and it had trouble to log in but it worked after. Now I go on the one Plus 7 and I try adding a song and I click on already a subscriber and nothing happens. If I click on start 3month free trial then it works. Its BS. They are making it so d...\nFull Review,Rated 1 stars out of five stars,09-Mar-20,"{'neg': 0.029, 'neu': 0.9, 'pos': 0.07, 'compound': 0.5574}",0.5574,Positive,0.1,0.5,Positive
139,279,James Patlyek,Terrible customer service. Been having an issue since the last update where I only get track 1 of 101 or 2 of 101 it does not move on past 2. I have over 500 songs in the playlist. Contacted Apple support since its their app and was told that since I dont own an apple phone its not their problem.,Rated 1 stars out of five stars,19-Mar-20,"{'neg': 0.052, 'neu': 0.866, 'pos': 0.083, 'compound': 0.2163}",0.2163,Positive,-0.13,0.663333333,Negative
140,281,patrick okooboh,"Terrible!!! Whenever I click on a song, it plays another song entirely different from the one I clicked. Its crazy. This should be fixed in the next update. I cant continue to live like this. Id rather use other music player",Rated 1 stars out of five stars,30-Mar-20,"{'neg': 0.145, 'neu': 0.752, 'pos': 0.103, 'compound': -0.4359}",-0.4359,Negative,-0.212662338,0.510714286,Negative
141,283,J ames,"Apple Music isnt iTunes but its still the best music app available for our non iOS device. The reasons for this are plenty but for the moment lets just highlight the massive catalog of material that is available to subscribers. Everything ever released by almost every musician, performer, band, g...\nFull Review",Rated 5 stars out of five stars,04-Feb-20,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.872}",0.872,Positive,0.45,0.525,Positive
142,285,Courtney Briggs,I like the app but after its update lately its been acting weird. If you remove a song then it brings you all the way to the top. Also it started shutting down and opening back up or not wanting to let me use other apps like Facebook while its active. If these could be fixed that would be greatly...\nFull Review,Rated 3 stars out of five stars,05-Feb-20,"{'neg': 0.031, 'neu': 0.808, 'pos': 0.161, 'compound': 0.8271}",0.8271,Positive,-0.068209877,0.395987654,Negative
