,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob,strenth/opportunity,weakness/threats,classified_reviews
70,Andrew C,"MUCH better than YouTube for music (proper Bluetooth controls) but the persistent desperate incessant nagging to go premium is very annoying. If you forget and turn your screen off, thats a pause and a nag to go premium, if you open the app after a while, its a nag to go premium, when you wake up ...\nFull Review",Rated 4 stars out of five stars,02-Apr-20,"{'neg': 0.283, 'neu': 0.688, 'pos': 0.029, 'compound': -0.9545}",-0.9545,Negative,-0.22,0.62,Negative,,0,2
71,Angel Paule,"Really good. I subscribed for premium. But... Gapless track sucks. They pause in between track changes. When I was still using the ad version, sometimes it gets stuck loading the ad for several minutes like 20 to 30 mins. I hope this gets fixed cause I dont have this issue on spotify.",Rated 4 stars out of five stars,02-Apr-20,"{'neg': 0.08, 'neu': 0.767, 'pos': 0.153, 'compound': 0.624}",0.624,Positive,0.125,0.275,Positive,1,,1
72,Carlos Milan,"It seems uploads are now possible from the web version, but no migration from GPM yet. The app complete disregard track number metadata of uploaded files while playing an album and goes to alphabetical order. Also, theres no way to edit metadata a-la GPM. Its getting there, but not ready to substi...\nFull Review",Rated 2 stars out of five stars,03-Apr-20,"{'neg': 0.177, 'neu': 0.763, 'pos': 0.059, 'compound': -0.8055}",-0.8055,Negative,0,0.633333333,Negative,,0,2
73,Gary Patterson,This app keeps getting better. Overall I really like the interface and user experience. It is easy to navigate and has all of the typical options. I would like to see a broader data base for my selected genre. The Google generated playlists seem a little narrow. This has become my go to app for musi...\nFull Review,Rated 4 stars out of five stars,04-Apr-20,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.8856}",0.8856,Positive,-0.027604167,0.491666667,Negative,0,,0
74,Jeannie Stovall,"I have found after using spotify and prime music that the sound quality that comes from youtube music is immeasurably better and On the other apps your stuck with poor versions of many songs. Perhaps that would improve if I became a paying listener. But I get tired of all the damn, look here, look t...\nFull Review",Rated 5 stars out of five stars,06-Apr-20,"{'neg': 0.169, 'neu': 0.74, 'pos': 0.091, 'compound': -0.5994}",-0.5994,Negative,0.079166667,0.5125,Positive,0,,0
75,Jerred Kulm,"The interface of this app stinks, bring back the format that Google Play Music used with genre radio stations. I could give a rats ass about being able to watch the music videos of the songs as I stream the music to a Bluetooth speaker or to my car radio anyways. YouTube already makes shitloads of...\nFull Review",Rated 1 stars out of five stars,08-Apr-20,"{'neg': 0.095, 'neu': 0.864, 'pos': 0.041, 'compound': -0.4767}",-0.4767,Negative,-0.033333333,0.375,Negative,,1,3
76,Jijo Thomas,"Best music App thats exists ! No one can beat YT library ! All those unique covers & renditions .you will only find on YT . Just login with ur usual gmail login & then go uninterrupted immersed into ur own choice of music which you were anyways hooked into all these years ,no matter how many apps c...\nFull Review",Rated 5 stars out of five stars,10-Apr-20,"{'neg': 0.072, 'neu': 0.832, 'pos': 0.096, 'compound': 0.3578}",0.3578,Positive,0.317857143,0.578571429,Positive,0,,0
77,R.D. Strickland,"This is an excellent music app. The app is very intuitive and does an superior job of finding songs and other artists in the genres I like and does an amazing job introducing me to other songs, artists and genres I never considered. This is my Go-To app for all my music needs.",Rated 5 stars out of five stars,09-Apr-20,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.926}",0.926,Positive,0.375,0.641666667,Positive,0,,0
79,FR4UD,"The app is good. Far from perfect because it still has a lot of bugs like the song doesnt get removed from the liked playlist even when disliked. Needs white mode . If bugs are fixed then it will be the best music service . Also, many songs are not available.",Rated 3 stars out of five stars,05-Apr-20,"{'neg': 0.044, 'neu': 0.691, 'pos': 0.265, 'compound': 0.9246}",0.9246,Positive,0.36,0.54,Positive,1,,1
80,Eric Bhujbal,"Stuck to this because i got yt permium and yt has a huge selection of songs, but the APP ITSELF regardless of its content is absolute horseshit. The download section holds no more than 500 songs, and the app is glitchy af in general. DO NOT GET THIS IF YOU ARENT LOOKING TO GET YT PREMIUM ANYWAY The...\nFull Review",Rated 1 stars out of five stars,03-Apr-20,"{'neg': 0.072, 'neu': 0.901, 'pos': 0.028, 'compound': -0.3919}",-0.3919,Negative,0.1,0.7,Positive,,1,3
81,Joseph Marion,"Ive had other music app Ive paid for but this is the best by far way to use nothing here you cant find or listen to great job you tube, okay so Ive had this app for about six months this is the best Ive ever had Im forever keeping all the rest Im never going to look at again. YouTube YouTube ...\nFull Review",Rated 5 stars out of five stars,03-Apr-20,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.9705}",0.9705,Positive,0.545833333,0.5375,Positive,0,,0
82,Orcaben1,"I love it apart from the fact that songs keep becoming unavailable so ill add many songs to my list and over time, even though they are downloaded they become unavailable and i cant listen to it, love the app, fix that issue as its pretty much constant and ill put it to 5 stars.",Rated 4 stars out of five stars,31-Mar-20,"{'neg': 0.11, 'neu': 0.714, 'pos': 0.176, 'compound': 0.6561}",0.6561,Positive,0.15,0.735416667,Positive,1,,1
83,PORARO DE POTATO,Its not worth five stars yet ..... However Im loving how its constantly getting updated my experience is getting better by the time. Please add : 1. More countries 2. The ability of the song to keep playing even after closing the app ( just like play music) 3. The ability to choose to always play...\nFull Review,Rated 5 stars out of five stars,01-Apr-20,"{'neg': 0.024, 'neu': 0.676, 'pos': 0.3, 'compound': 0.9496}",0.9496,Positive,0.29,0.476666667,Positive,1,,1
84,sean riopel,Great for saving data and battery especially when you get YouTube premium. The one suggestion I have is making the organising of playlists a little easier by being able to select multiple files at once and maybe introducing hotkeys because clocking on the options button then making another selection...\nFull Review,Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.7655}",0.7655,Positive,0.2225,0.575,Positive,1,,1
85,EbonPhoenix,The main problem this app has is you cant listen to it in background. You have to pay for that which is unfavorable for an app based on music. I understand paying for downward but the music stopping as I move to do another task is unacceptable. The quality of music is good and you can find nearly a...\nFull Review,Rated 2 stars out of five stars,03-Apr-20,"{'neg': 0.136, 'neu': 0.805, 'pos': 0.059, 'compound': -0.4767}",-0.4767,Negative,0.322222222,0.444444444,Positive,,0,2
86,Richard Lloyd,"Its OK, but doesnt offer a lot more than the standard YouTube app does and has an appalling lack of landscape support in the UI (but can go landscape when playing videos - stupidly inconsistent). I suspect this will eventually replace Google Play Music once the purchasing/uploading features from t...\nFull Review",Rated 3 stars out of five stars,05-Apr-20,"{'neg': 0.204, 'neu': 0.627, 'pos': 0.169, 'compound': -0.4911}",-0.4911,Negative,-0.03,0.58,Negative,,1,3
87,SBK 6,"This app is so bad, the fact you say this is going to replace Play Music is astounding. Casting sucks, shuffle doesnt work, just decides to stop randomly in a playlist and quit, play next doesnt work. This aint it Google. Why does it also affect my YouTube history? Who would want that?",Rated 1 stars out of five stars,08-Apr-20,"{'neg': 0.151, 'neu': 0.709, 'pos': 0.14, 'compound': -0.3922}",-0.3922,Negative,-0.18,0.493333333,Negative,,1,3
88,John Cathey,"4 instead of 3 stars because I can find uncommon music here. Overall, as an offline player it leaves something to be desired. The downloaded area is awkward and difficult to navigate. Also, sometimes downloads just disappear. Hopefully these things will improve!",Rated 4 stars out of five stars,26-Mar-20,"{'neg': 0.158, 'neu': 0.674, 'pos': 0.168, 'compound': 0.3595}",0.3595,Positive,-0.10625,0.75,Negative,0,,0
89,Aevryn McAlister,"A few months ago I would use regular youtube and download music to listen to, but I decided to now actually get YouTube mysic and its absolutely amazing. It recommends me new songs, I can create several different playlists, and put them in the order I want, or just shuffle it, I can keep them privat...\nFull Review",Rated 5 stars out of five stars,01-Apr-20,"{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.9097}",0.9097,Positive,0.076623377,0.318781219,Positive,0,,0
90,Kabir Seth,"Love this app but just let us selecr multiple songs from say our liked songs and add them into a playlist the process of searching individual songs and adding them individually is very irritating, also let us select multiple songs in our liked songs list so as to unlike them or delete them from down...\nFull Review",Rated 3 stars out of five stars,01-Apr-20,"{'neg': 0.068, 'neu': 0.779, 'pos': 0.153, 'compound': 0.6768}",0.6768,Positive,0.168571429,0.514285714,Positive,0,,0
91,Dodo Ioana,"The premium version is a nice app but way too expensive, 5$ / month, its not like netflix where you have no valid options to watch HD movies and series online. And the free version is full of ads just like YT with no extras so I see no point in using it for more than the trial period.",Rated 3 stars out of five stars,01-Apr-20,"{'neg': 0.199, 'neu': 0.709, 'pos': 0.092, 'compound': -0.7491}",-0.7491,Negative,0.27,0.71,Positive,,0,2
92,Chris Swain,Overall its great. Needs to boost up its streaming library of audio. Also needs a way to import or transfer my uploaded library from Google play music. Although it has upload capability now its extremely cumbersome for large libraries. Add the ability to stream HD and ultra HD and its game set matc...\nFull Review,Rated 4 stars out of five stars,01-Apr-20,"{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.8885}",0.8885,Positive,0.097857143,0.515714286,Positive,0,,0
93,C C,"Worst music app ever, tried to listen to a playlist and the whole playlist was filled with the same artist, okay I understand that because I havent listened much, but no matter what playlist I picks it just keeps switching back to the other playlist over and over after the first song ends. Also the...\nFull Review",Rated 1 stars out of five stars,01-Apr-20,"{'neg': 0.096, 'neu': 0.858, 'pos': 0.046, 'compound': -0.5789}",-0.5789,Negative,0.047222222,0.425925926,Positive,,1,3
94,Alejandro Ysea,"Its a very good app, i love it. But, there some few things that you need to improve, for s Example try to add change between device (if i want to keep listening on my pc what i was listening on my phone, like Spotify does) Try to add setting/levels on the quality of the music for slow connection Ple...\nFull Review",Rated 4 stars out of five stars,04-Apr-20,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.924}",0.924,Positive,0.2275,0.47,Positive,1,,1
95,Scott R-S,"Excellent song and playlist availability. Love the ability to access wide range of genre playlists, as well as how the services probability algorithim is able to determjne what play next. Much better thannsomemothet music apps out there. Wish the price were better though; the only negative so far.",Rated 5 stars out of five stars,06-Apr-20,"{'neg': 0.056, 'neu': 0.592, 'pos': 0.352, 'compound': 0.9552}",0.9552,Positive,0.27,0.6025,Positive,0,,0
96,Michael Woermann,"Best for the price if you on family plan and has literally every song you could want. Only issue is that the ai responsible for making playlists could be better... You sometimes end up listening to the same song over and over and if you like a spisific artest youll probably get the odd cover, remix...\nFull Review",Rated 4 stars out of five stars,07-Apr-20,"{'neg': 0.036, 'neu': 0.802, 'pos': 0.162, 'compound': 0.7906}",0.7906,Positive,0.255555556,0.454166667,Positive,0,,0
97,Parin Shah,"Awesome Experience, Although Youtube music has a huge collection, Some unique features of Spotify still makes me subscribe its service like its Integration with Instagram, Shazam, FB and other social media platforms... Would love to see those features in YouTube Music Also Im happy to know that n...\nFull Review",Rated 3 stars out of five stars,02-Apr-20,"{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.9501}",0.9501,Positive,0.426190476,0.705952381,Positive,1,,1
98,Kevin Valladares,"I really like the app, I would love it if you add the Crossfade, also if I could link my Shazam to YouTube or something that could help me to find the song that Im listening in a party or reunion would be great, the lyrics option could be improved a lot, turn on/off subtitles while Im watching a m...\nFull Review",Rated 1 stars out of five stars,26-Mar-20,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.9617}",0.9617,Positive,0.5,0.516666667,Positive,1,,1
99,Steven Aubin,"Not 5 star because it plays what it wants when Im not around including artists Ive never searched or listened too. I have to stop what Im doing, turn phone on change song turn phone off and go back to what Im doing. Songs arent very long. Definitely better then regular YouTube. For music...",Rated 4 stars out of five stars,01-Apr-20,"{'neg': 0.081, 'neu': 0.83, 'pos': 0.089, 'compound': 0.128}",0.128,Positive,0.127,0.239384615,Positive,1,,1
100,Fox,"The bundle that gives the premium for this along with YouTube Premium is a very good deal! You can find almost any song thanks to being able to use videos on YouTube alongside the songs themselves, it makes playlists great. Especially with their use for Music Bots on Discord that rely on YouTube lin...\nFull Review",Rated 5 stars out of five stars,05-Apr-20,"{'neg': 0.043, 'neu': 0.795, 'pos': 0.162, 'compound': 0.8187}",0.8187,Positive,0.5,0.671,Positive,0,,0
101,Ivan Stoyanov,The AI algorithms used by Google to effortlessly organise your library and recommend new songs which you might like are unrivaled. Many say that the sound quality in YouTube music suffers compared to other streaming services but the amount of songs to choose from and the AI really compensates for th...\nFull Review,Rated 5 stars out of five stars,05-Apr-20,"{'neg': 0.038, 'neu': 0.898, 'pos': 0.064, 'compound': 0.1154}",0.1154,Positive,0.085227273,0.438257576,Positive,0,,0
102,Michael Feddeler,"Google Play Music and YouTube Music are both excellent. I use them both almost daily. Linked up to the bluetooth speaker system and life is good. Cooking, chilling, driving, working out, etc... is a pleasure with your favorite tunes going. Thank you for making life more harmonious... Get it? Harmoni...\nFull Review",Rated 5 stars out of five stars,07-Apr-20,"{'neg': 0.018, 'neu': 0.685, 'pos': 0.297, 'compound': 0.9524}",0.9524,Positive,0.366666667,0.666666667,Positive,0,,0
104,Godwin Udoh,"UPDATE (01-04-2020): Subscribed for YouTube Premium and Im loving every single second of it. But when I audio search with Google Assistant, I cant add the result to any of my playlist. Please fix this. Thanks. UPDATE (25-03-2020): I cant subscribe. Google keeps declining my card. FIRST REVIEW: I...\nFull Review",Rated 4 stars out of five stars,02-Apr-20,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.8442}",0.8442,Positive,0.195714286,0.33952381,Positive,1,,1
105,Jay Du,"It is a fantastic music app. It is easy with features similar to YouTube. It is my hope that Google just combines YouTube, YT Music, YouTube TV and Google Play Movies & TV into one app. One streamlined app to manage all of the YouTube suite. Maybe one bundle price for all of the suite and A la cart ...\nFull Review",Rated 5 stars out of five stars,03-Apr-20,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.8957}",0.8957,Positive,0.277777778,0.711111111,Positive,0,,0
106,Richard Reid,If you want me to jump from Play Music to YouTube Music then sort this app out. Transition my playlists and library over for a start. And sort out the casting feature so that a whole playlist plays rather than just one song before its disconnected... Locating content is like using Bing which goes wi...\nFull Review,Rated 1 stars out of five stars,03-Apr-20,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.7351}",0.7351,Positive,0.2,0.4,Positive,0,,0
107,Daniel Saragea,"Same as for the YouTube aLtogether, More than satisfied! You can know the wOrld *and beYond* With the speed controls :) desto besser! And counting on the creators part of it, besser noch! Varied and increasingly customizable. All my thumbs up out of jo^Y^ It can help learn how to (inter-)actively ...\nFull Review",Rated 5 stars out of five stars,05-Apr-20,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.8643}",0.8643,Positive,0.4765625,0.65625,Positive,0,,0
108,David G,"I love the huge variety of music available. The apps recommendations are great too. This is without a doubt my favorite music app. I have dozens of playlists saved in my music library and use YouTube music every day. Love, love, love it!!!",Rated 5 stars out of five stars,06-Apr-20,"{'neg': 0.04, 'neu': 0.496, 'pos': 0.464, 'compound': 0.9809}",0.9809,Positive,0.572070313,0.68125,Positive,0,,0
109,Erich Tackett,You tube music has everything about music. It has almost every song youve ever heard and then a whole lot you havent so you can explore and you might be surprised to find some new genre you didnt know you liked\xf0\x9f\x98\x9c. I love the never ending mixtape. I like that whenever you hear a song you like you ...\nFull Review,Rated 5 stars out of five stars,04-Apr-20,"{'neg': 0.068, 'neu': 0.834, 'pos': 0.098, 'compound': 0.4367}",0.4367,Positive,0.234090909,0.588636364,Positive,0,,0
110,Rohan Chowdhury,"Really needs a better UI. Else, I prefer this over Spotify in India. Update: UI improved significantly. Like the lyrics option, still needs improvements though. Some videos whose audios are downloaded still do not play properly. Keep buffering. This is a major deterrent.",Rated 4 stars out of five stars,26-Mar-20,"{'neg': 0.042, 'neu': 0.727, 'pos': 0.23, 'compound': 0.8419}",0.8419,Positive,0.2275,0.435,Positive,1,,1
111,Yours Taran,Im in love with the all over appearance in this app... Its just beautiful\xf0\x9f\x98\x8d\xf0\x9f\x92\x93 ....very very very Happy to install it. I would like to say to the people who are searching for their music apps....Plzz try this amazing app. You cant download any other app if you use this. By the way thanks Google LL...\nFull Review,Rated 5 stars out of five stars,01-Apr-20,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.9605}",0.9605,Positive,0.435,0.615,Positive,0,,0
112,Kenneth Soriano,"Youtube Musics highlight is its massive library of songs unlike other music streaming apps which only gives official songs. This is an issue if you want to listen to some indie band or covers found in youtube, but YT Music can download anything be it unofficial or official as long as its in youtub...\nFull Review",Rated 4 stars out of five stars,01-Apr-20,"{'neg': 0.0, 'neu': 0.949, 'pos': 0.051, 'compound': 0.2144}",0.2144,Positive,-0.035,0.555,Negative,0,,0
113,Joey Knappenberger,"Alright, it seems as though Google is pushing us pretty hard towards YouTube music, and its not terrible, but right now theres no way to transfer your playlists from Google play music to YouTube music, and that feels kind of like an obvious necessity to transition people over.",Rated 3 stars out of five stars,01-Apr-20,"{'neg': 0.071, 'neu': 0.728, 'pos': 0.201, 'compound': 0.7421}",0.7421,Positive,0.224007937,0.746230159,Positive,1,,1
114,Brianna Lockwood,Why do i have to update i love the old youtube music cant i just stick with that without being forced to update. I loved how on a song it would have an explore option but on the up to date version it doesnt have it your just stuck to listening whats on your playlist. Please bring back the option whe...\nFull Review,Rated 1 stars out of five stars,01-Apr-20,"{'neg': 0.039, 'neu': 0.809, 'pos': 0.152, 'compound': 0.7383}",0.7383,Positive,0.2,0.36,Positive,1,,1
115,RYAN BURKE,Trial stage I like how it downloads music for you at night. As well as your liked songs. You do need to have storage however. Overall Im going to be probably staying with this as I join YouTube premium so I get to Google Play and premium YouTube 3 grade streaming services for $2 or $3 more,Rated 3 stars out of five stars,06-Apr-20,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.875}",0.875,Positive,0.366666667,0.433333333,Positive,0,,0
116,Roberts Christie,Its better than it was a few months ago. The auto-playlists still need work. They get very repetitive between 3 or 4 artists. The amount of new release material is awesome. Just need to dial the endless playlist algorithm a wee bit.,Rated 4 stars out of five stars,07-Apr-20,"{'neg': 0.052, 'neu': 0.79, 'pos': 0.158, 'compound': 0.6915}",0.6915,Positive,0.164393939,0.521590909,Positive,0,,0
117,JPhre the Skillful,"YouTube is one of those pay-to-play games that becomes super dope once you subscribe and it technically has free to play players but we all know they\re hostage to ads for products and subscription services. Love you YouTube, but you\re better than that and you know it.",Rated 5 stars out of five stars,06-Apr-20,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.9428}",0.9428,Positive,0.346666667,0.533333333,Positive,0,,0
118,Bethany Johnson,I love love love this app. I have zero problems finding songs like I do other music apps. It also suggests better songs than other music apps. The one complaint I have is that I cant find a repeat button for a song? But I am so satisfied with the useability of this app that I give 5 stars.,Rated 5 stars out of five stars,04-Apr-20,"{'neg': 0.073, 'neu': 0.607, 'pos': 0.32, 'compound': 0.9566}",0.9566,Positive,0.24375,0.53125,Positive,0,,0
119,crystal herrada,My personal experience is very surprising due to fact i had no idea it would be very fun in exploring the many functions it jas n what you can do to apply certain settings. Much more easier to use in terms of simplicity of functions. I have such a great experience each time i use this app to play my...\nFull Review,Rated 5 stars out of five stars,05-Apr-20,"{'neg': 0.032, 'neu': 0.711, 'pos': 0.257, 'compound': 0.938}",0.938,Positive,0.354365079,0.489603175,Positive,0,,0
120,shamir akmad,"UI is \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb, and I love the setup of the Lyrics in every song, it is absolutely amazing! While Podcasts is not included I would say that the tunes and the palylists are fantastic. Suits me just fine. However it might be useful if a feature to hide songs (in a playlist) that were not downloaded will b...\nFull Review",Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.025, 'neu': 0.725, 'pos': 0.25, 'compound': 0.945}",0.945,Positive,0.473333333,0.58,Positive,0,,0
121,Emily,"Usually works fairly well. However, I have experienced a number of issues. (I use the Android app version). First of all, sometimes when I add a song to a playlist, it adds a completely different song from my library to that playlist, and I have to sign out and back in again to resolve the issue, wh...\nFull Review",Rated 2 stars out of five stars,07-Apr-20,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.6124}",0.6124,Positive,0.25,0.497222222,Positive,1,,1
122,Nadia Peralta,I regret updating it to get dark theme. Now it keeps cutting out through the songs. That never happened before. Very upset that it sounds this way! Edit: I realized that the cutting off happens when using Bluetooth. If they can fix this then I will change my rating. Edit 2: It doesnt cut off when u...\nFull Review,Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.148, 'neu': 0.822, 'pos': 0.03, 'compound': -0.7328}",-0.7328,Negative,-0.275,0.625,Negative,,0,2
123,Super Z-Fresh,"I cant believe this is made by apple because it is one of the worst apps Ive ever used. It is constantly buggy. For example, sometimes when I add songs to a playlist, it adds the wrong song completely so I have to add songs to my playlists from my computer which isnt always possible. I am disappo...\nFull Review",Rated 1 stars out of five stars,10-Apr-20,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.802}",-0.802,Negative,-0.28,0.726666667,Negative,,1,3
124,Israel Bermudez,I dont know what you guys are doing in regards to the sounds quality. But the sound quality is leaps and bounds ahead of spotifys even with spotify set for maximum quality. I cant wait for a beta spot to open up. Highly impressed by the sound. The UI could use some work but its not the worse.,Rated 5 stars out of five stars,10-Apr-20,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.6734}",0.6734,Positive,0.28,0.58,Positive,0,,0
125,Jan Makuc,App is good but not great (as it is on an iPhone) but still... it works. The only problem is that when you download your music it adds the album a few days later than the song. You can listen to the song but you cant check its album if youre offline. Overall Im satisfied with the app. I love the ...\nFull Review,Rated 5 stars out of five stars,04-Apr-20,"{'neg': 0.128, 'neu': 0.722, 'pos': 0.15, 'compound': 0.4037}",0.4037,Positive,0.1375,0.50625,Positive,0,,0
126,Liam Oates,"It worked great for about a year and then a couple days ago, everything stopped working, I cant play my downloaded music, I cant stream music, I cant play radio stations, only on my Google pixel though, my laptop and iPhone work great with apple music still, but my pixel is my primary device and ...\nFull Review",Rated 3 stars out of five stars,03-Apr-20,"{'neg': 0.079, 'neu': 0.831, 'pos': 0.09, 'compound': 0.3847}",0.3847,Positive,0.5,0.75,Positive,1,,1
127,Jack Daniels,This app pales in comparison to the iOS version. Its glitchy and inconsistent. When you tap a song you have to wait for what feels like 10 seconds+ sometimes. On iOS its instant Album art and even their names often take long to load up and you cant even see the number of songs on a playlist or th...\nFull Review,Rated 1 stars out of five stars,09-Apr-20,"{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.4215}",0.4215,Positive,-0.025,0.533333333,Negative,1,,1
128,ordinary dude,"Bugs. Bugs are everywhere, you literally have to restart the application each time you want to do something. Disgusting. Unusable. Terrible. Checking the lyrics almost always leads app to no longer be able to show you your library. Player in application randomly disappears time after time. Interface...\nFull Review",Rated 1 stars out of five stars,05-Apr-20,"{'neg': 0.2, 'neu': 0.776, 'pos': 0.023, 'compound': -0.8689}",-0.8689,Negative,-0.5,0.78125,Negative,,1,3
129,Arinelly,"It\s pretty okay overall and I haven\t had any problems with anything until recently, I tried playing specific songs in my playlist but instead it skipped a bunch of songs saying this content is not authorized even though I was able to listen to it before! 3 stars are taken off for that as it says...\nFull Review",Rated 2 stars out of five stars,07-Apr-20,"{'neg': 0.034, 'neu': 0.871, 'pos': 0.095, 'compound': 0.3382}",0.3382,Positive,0.229166667,0.416666667,Positive,1,,1
130,Kassidy Knight,I like apple music but it plays the wrong songs. Of I go into lyrics and look at the words the words are totally different from the song and the song thats playing isnt even the song that is supposed to be playing. Ive restarted Ive done everything I can think of and nothing works.,Rated 3 stars out of five stars,07-Apr-20,"{'neg': 0.069, 'neu': 0.786, 'pos': 0.145, 'compound': 0.3612}",0.3612,Positive,-0.25,0.75,Negative,1,,1
131,Jazmine Decker,Has EVERY song Ive ever searched for. 9/10 songs have follow along lyrics. Lose your place? Click on the words & itll rewind.. Has radio stations. Custom suggestions.. Play it in the background. Lock your screen.. Lost phone? Its all good just log in on your new one & your music & playlist will b...\nFull Review,Rated 5 stars out of five stars,09-Apr-20,"{'neg': 0.084, 'neu': 0.821, 'pos': 0.095, 'compound': 0.168}",0.168,Positive,0.418181818,0.527272727,Positive,0,,0
132,Tazzmanian Devill,"Im changing my 5 stars to 3 stars coz after so long,ther is still no option to sort music playlist according to alphabets for example in my playlists edit. Do you know how much how a hassle it was to drag songs according to alphabets if you have over 1000 songs and the song that we want to drag beg...\nFull Review",Rated 3 stars out of five stars,03-Apr-20,"{'neg': 0.098, 'neu': 0.881, 'pos': 0.021, 'compound': -0.5719}",-0.5719,Negative,0,0.113888889,Negative,,0,2
133,Ricky Milne,"**Mar update 2 - hit and miss but sometimes works now!** Voice commands no longer work, particularly annoying when using with android auto. Asking to play a song results in the app searching but not actually playing. Rolling back to an earlier version works fine 2.9.0 (814). Not all artists/albums a...\nFull Review",Rated 4 stars out of five stars,05-Apr-20,"{'neg': 0.175, 'neu': 0.734, 'pos': 0.09, 'compound': -0.6085}",-0.6085,Negative,-0.076666667,0.4,Negative,,0,2
134,Daniel,"The worst service for music discovery. Super slow search bar. Missing important Metallica albums from the Israeli library. No daily mixes nor flow kind of daily playlists, only suggestion for albums which I dont find very useful for me. No automatic download for songs added to library. The whole R...\nFull Review",Rated 1 stars out of five stars,07-Apr-20,"{'neg': 0.215, 'neu': 0.693, 'pos': 0.092, 'compound': -0.7665}",-0.7665,Negative,0.038484848,0.492424242,Positive,,1,3
135,Gino Barnes,"All music is good, but EVERY TOME I try to use a pic for a playlist, it never works! Please fix this! If this didnt happen, it would be a 5 star review, but its not! Please fix this. I have a Moto e5 play Android. Thanks!",Rated 3 stars out of five stars,05-Apr-20,"{'neg': 0.098, 'neu': 0.701, 'pos': 0.202, 'compound': 0.7337}",0.7337,Positive,0.625,0.4,Positive,1,,1
136,MaryAnn,"Tried twice to verify email code, had to get out of the freakin app to look at my email because I DONT HAVE A COMPUTER, and once I do, instead of continuing on and letting me put in the code, (LIKE EVERY SINGLE OTHER APP THAT DOES NOT CLOSE OUT, ESPECIALLY WHEN REQUIRING A FREAKIN CODE, AND HAS WOR...\nFull Review",Rated 1 stars out of five stars,03-Apr-20,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Negative,-0.06547619,0.529761905,Negative,,0,2
137,JaZzIe BaBiE,I used to have this on 5 star but starting today its not playing certain songs. It just skips until it finds a song to play. I dont know why its doing this all of the sudden but Im probably going to cancel membership because of this.,Rated 2 stars out of five stars,09-Apr-20,"{'neg': 0.136, 'neu': 0.801, 'pos': 0.064, 'compound': -0.363}",-0.363,Negative,0.071428571,0.39047619,Positive,,0,2
138,Alexander Brock Swims,"Really needs a few basic features like sorting playlists, download all for songs/genres/etc, and saving purchased music files directly to the phone (if I bought them why shouldnt I be able to have them locally on the phone? Would be great for making ringtones and such for example).",Rated 4 stars out of five stars,10-Apr-20,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.765}",0.765,Positive,0.175,0.3375,Positive,1,,1
139,Ryan Hanewich,"Works just as expected; however, the app still lacks gapless playback, something present in its iOS counterpart. As someone who enjoys listening to albums with smooth transtions between songs, fixing this would greatly enhance the listening experience.",Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.5106}",0.5106,Positive,0.275,0.4125,Positive,1,,1
140,Jsan,Can not play an album i want to listen to or playlist..it will go thru entire playlist ot album and not 1 song played...uninstalled/installed 3 times..still does not work..what am i paying for to watch it go thru entire list and not a song played...fix it!!!...going on for 4 days.,Rated 1 stars out of five stars,07-Apr-20,"{'neg': 0.063, 'neu': 0.909, 'pos': 0.028, 'compound': -0.3843}",-0.3843,Negative,0,0.625,Negative,,1,3
